Title,Abstract,Tags,Category
Climate change: the public health response,"There is scientific consensus that the global climate is changing, with rising surface temperatures, melting ice and snow, rising sea levels, and increasing climate variability. These changes are expected to have substantial impacts on human health. There are known, effective public health responses for many of these impacts, but the scope, timeline, and complexity of climate change are unprecedented. We propose a public health approach to climate change, based on the essential public health services, that extends to both clinical and population health services and emphasizes the coordination of government agencies (federal, state, and local), academia, the private sector, and nongovernmental organizations.",,Social
Cultural tightness does not predict action on the collective threat of climate change,"We applaud Michele J Gelfand and colleagues on their analysis of cultural tightness–looseness in relation to COVID-19.1 Their work provides an informative and, given the reported effect sizes, compelling demonstration that countries with greater cultural tightness have fewer COVID-19 cases and deaths than culturally looser countries do. The authors also propose an interesting corollary to their results, stating that: “The results suggest that tightening social norms might confer an evolutionary advantage in times of collective threat.” and that “Social norm interventions will be critical for helping groups to tighten norms […] to deal with future collective threats.”.",,Social
Indicators of 21st century socioclimatic exposure,"Policies that attempt to curb greenhouse gas emissions, allocate emissions rights, or distribute compensation to those most damaged by climate change must explicitly incorporate the international heterogeneity of the climate change threat. To capture the distinct susceptibilities associated with lack of infrastructure, potential property loss, and gross human exposure, we develop an integration of climate change projections and poverty, wealth, and population metrics. Our analysis shows that most nations of the world are threatened by the interaction of regional climatic changes with one or more relevant socioeconomic factors. Nations that have the highest levels of poverty, wealth, and population face greater relative exposure in those dimensions. However, for each of those socioeconomic indicators, spatial heterogeneity in projected climate change determines the overall international pattern of socioclimatic exposure. Our synthesis provides a critical missing piece to the climate change debate and should facilitate the formulation of climate policies that account for international variations in the threat of climate change across a range of socioeconomic dimensions.",,Social
Implementation at a city level of circular economy strategies and climate change mitigation – the case of Brussels,"Within the framework of the 2015 Paris Agreement and the increased acceptance of circular economy (CE) principles of national and local governments, it is essential to study the potential effect on climate change of CE-strategies implemented on an urban scale. The present research quantitatively assesses the potential impact of these strategies on primary material footprint (MF) and carbon footprint (CF) of households in areas an urban area, using the case of Brussels Capital Region (BCR), Belgium. Because the CE-strategies are linked to consumption domains, this assessment first calculates both footprints of consumption domains using a city-level input-output analysis and discusses the relationship between the footprints. The findings show that the carbon footprint of BCR in 2010 was 22 Mt CO2-eq. or 20.3 t/cap. The material footprint of BCR in 2010 was 31 Mt or 29.5 t/cap. Important insights are that BCR relies on its hinterland for 98% of its primary materials and 83% of the region's greenhouse gas emissions (GHGs) are emitted outside of its territory. The household consumption domains of food, housing and transport were identified as hotspots in both footprints. Within these domains, we calculated and discussed the potential impact on both footprints of CE-strategies on consumption or production of food, mobility and housing. Results from this case show that with these strategies Brussels could mitigate 25% of its CF and 26% of its MF, 18% of its CF and 26% of its MF, and 7% of its CF and 10% of its MF, respectively. The methodology and insights could therefore support authorities and policy-makers to effectively develop coherent and consistent action plans on consumption domains to improve resource efficiency and reduce the GHGs, simultaneously.",Carbon footprint; Input-output analysis; Material footprint; Urban area,Social
"Limits to growth, planetary boundaries, and planetary health","An overview of the ‘Limits to Growth’ debate is provided, from Malthus to Planetary Boundaries and the Planetary Health Commission. I argue that a combination of vested interests, inequalities, and cognitive impediments disguise the seriousness of our collective proximity to limits. Cognitive factors include an increasingly urbanized population heavily in denial through declining exposure to nature, incompletely substituted by the rise of simulated, digital and filmed reality. Following prominence in the 1960s and early 1970s, fears of Limits to Growth diminished as the oil price declined and as the Green Revolution expanded agricultural productivity. While public health catastrophes have occurred which can be conceptualised as arising from the exceedance of local boundaries, including that of tolerance (e.g. the 1994 Rwandan genocide), these have mostly been considered temporary aberrations, of limited significance. Another example is the devastating Syrian civil war. However, rather than an outlier, this conflict can be analysed as an example of interacting eco-social causes, related to aspects of limits to growth, including climate change and aquifer depletion. To view the ‘root causes’ of the Syrian tragedy as overwhelmingly or even exclusively social, leaves civilization vulnerable to many additional disasters, including in the Sahel, elsewhere in the Middle East, and perhaps, within decades, globally. An aspect of the Limits to Growth debate that was briefly prominent was ‘peak oil’. Fear of this has fallen with the oil price. But this does not mean that Limits to Growth are fanciful or will apply only in the far future, even if (which seems unlikely) the oil price remains low. The proximity of dangerous climate change is the starkest example of an imminent environmental limit; other examples include declining reserves of phosphorus and rare elements. Crucially, human responses have the capacity to accelerate or delay the consequences of these limits. Greater understanding of these issues is vital for enduring population health, globally.",,Social
Climate change—that is not real! A comparative analysis of climate-sceptic think tanks in the USA and Germany,"The science is clear: climate change is real. In 2015, 195 countries adopted the global climate deal in Paris. Nonetheless, numerous well-organized conservative think tanks (CTTs) deny that climate change is happening. We ask what kind of counterclaims are used by climate-sceptic CTTs and to what extent these counterclaims change over time. We analyse about 2500 blog articles from prominent CTTs in the USA and Germany between 2008 and 2016. Our results show that sceptical arguments about climate policy and science dominate the countermovement. At the same time, we detect that the prevalence of counterclaims is CTT-specific and that US think tanks show a greater variability compared to their German counterparts. In a surprising outcome, we find that the Paris Agreement did not affect the climate denial movement. Based on these insights, we discuss our contributions to social movement research in the climate change denial context and derive conclusions for pro-climate campaigns.",,Social
Climate change-induced human conflicts and economic costs in Pakistani Punjab,"Understanding causes of interpersonal conflicts, related costs, and the effects on investment in agriculture are important concerns of social sciences. The present study was designed to explore these aspects in relation to climate change, since rising temperature and precipitation are considered crucial causal factors in fueling interpersonal conflicts. The study used cross-sectional data collected from rural farm households from a large district of Pakistani Punjab. Cost of conflicts was estimated using standard economic methods whereas factors affecting interpersonal conflicts were estimated through employing logit model. The study found that interpersonal conflicts cost US$135 per month for following the proceedings of the conflicts filed in the court. Households involved in conflicts spent significantly very few resources in purchasing farm inputs which in turn declined productivity of maize (28%) and sugarcane (19%). Warm temperature, precipitation, and windstorm were perceived by households as causal factors for interpersonal conflicts. Socioeconomic characteristics namely, farm size, livestock, family size, and high monthly income of household, were significantly associated with interpersonal conflicts. The study concludes important policy implications.",,Social
Empowerment in African Americans’ responses to global climate change and environmental racism through an integrative bio-interpersonal/music-based approach,"This chapter presents the thesis that climate change disproportionally impacts African Americans, provides a conceptualization for understanding this impact, and offers strategies for responding to resulting problems of this impact on the African American community. An interpersonal and a bio-psychosocial perspective is offered to alert those who contribute to the impact on Black Americans of health disparities and to inform prevention and interventions about such disparities. Also, fundamental neuropsychological function influenced by cultural experience is presented as the foundation for developing unity, community, and motivation for social action in the Black community. Additionally, the authors draw on the theoretical formulations of Harry Stack Sullivan, who has been deemed 'America's Psychiatrist,' for insights regarding attitudes that separate racial groups. Central to the thesis in this chapter are Sullivan’s ideas about the common humanity that we all share and the importance of sociopolitcal factors and cultural predilections. In the case of African Americans, the authors highlight the role of music as one important form of cultural expression and agent for change. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",,Social
Assessing barriers to adaptation to climate change in coastal Tanzania: Does where you live matter?,"Research on barriers to climate change adaptation has, hitherto, disproportionately focused on institutional barriers. Despite the critical importance of personal barriers in shaping the adaptive response of humanity to climate change and variability, the literature on the subject is rather nascent. This study is premised on the hypothesis that place-specific characteristics (where you live) and compositional (both biosocial and sociocultural) factors may be salient to differentials in adaptation to climate change in coastal areas of developing countries. This is because adaptation to climate change is inherently local. Using cross-sectional survey data on 1,253 individuals (606 males and 647 females), barriers to adaptation to climate change were observed to vary with place, indicating that there is inequality in barriers to adaptation. In the multivariate models, the place-specific differences in barriers to adaptation were robust and remained statistically significant even when socio-demographic (compositional) variables were controlled. Observed differences in barriers to adaptation to climate change in coastal Tanzania mainly reflect strong place-specific disparities among groups indicating the need for adaptation policies that are responsive to processes of socio-institutional learning in a specific context, involving multiple people that have a stake in the present and the future of that place. These people are making complex, multifaceted choices about managing and adapting to climate-related risks and opportunities, often in the face of resource constraints and competing agendas",,Social
"Relationships between typhoons, climate and crime rates in Taiwan","The literature indicates climate change is likely to cause more frequent and intense extreme weather events along with higher temperatures and altered precipitation. Taiwan frequently suffers from extremes in the form of typhoons, and their effects threaten both social stability and public security. Temperature effects through climate change are also expected to alter crime rates. We examine the immediate and longer-run impacts of typhoons and other climate variables on crime rates in Taiwan. The immediate results suggest that typhoon intensity has a significantly negative influence on rates of crime, including all violent crimes and automobile thefts. They also show that warmer temperatures have a strong positive effect on all violent crimes and all the subtypes of violent crimes. In addition, longer duration typhoons increase the immediate rates of all violent crimes, automobile thefts and muggings while decreasing the rate of burglaries. In the long run, we find that typhoon intensity, duration and landfall have persistent, lagged effects on crime that vary from negative to positive. For example, strong-intensity typhoons have significantly negative lagged effects on crimes 3–5 months in the future but positive lagged effects on crimes in future months 6–9. Finally, projections under the IPCC climate change scenarios show all violent crimes will increase.",Climate change; Crime rates; Typhoon; Typhoon duration; Typhoon intensity,Social
Mapping states’ Paris climate pledges: Analysing targets and groups at COP 21,"Prior to the 2015 Paris Conference of the Parties (COP), every state was requested to submit a pledge of their own design. To date, there has been a lack of large-n studies that provide a broad picture of these pledges. We employ Discourse Network Analysis to examine critically the climate pledges of all 162 actors at the Paris COP. Our research offers four main contributions. First, we provide data regarding the mitigation and adaptation components of every national pledge. Second, we identify six types of mitigation targets, and visually cluster every state according to these formats. Third, we argue that the pledges of the Umbrella Group of non-EU developed states, and of the group of oil exporting countries, showed greater internal similarity than the group comprising Brazil, China, India and South Africa. Finally, we critique the method as a means of analysing the new global climate governance context and argue that the method offers an innovative and unique means of understanding this complex policy landscape, when applied in a specific and focused manner.",Climate change; COP 21; Discourse Network Analysis; Negotiating groups; UNFCCC,Social
Hybrid nuclear-renewable energy systems: A review,"Climate change and energy security have emerged as the biggest concerns of the present century. Renewable energy sources are not continuous, dependent upon geographical location as well as climatic conditions, and require a very large land footprint. Future of nuclear energy is also uncertain because of public apprehensions and subsequent government policies. To overcome the issues derailing these two virtually carbon-free energy sources, a new hybrid or integrated nuclear-renewable energy system is being proposed and seen as an attractive option. Such integrated energy systems are conceived as a nuclear power reactor coupled with renewable energy generation and industrial processes that may simultaneously tackle the concerns regarding grid flexibility, climate change, energy security, optimal return on invested capital, and settling public concerns. Apart from highlighting the key challenges associated with nuclear energy and renewable energy sources while operating as an independent power generation system, the present paper delineates the various aspects associated with integrated nuclear-renewable energy systems. It may be speculated that integrating nuclear energy and renewable energy into a single hybrid energy system, coupled through informatics linkages, would enable to overcome the demerits present when they operate individual.",Climate; Energy; Sustainability; Nuclear; Renewable; Solar,Social
Estimating economic damage from climate change in the United States,"Estimates of climate change damage are central to the design of climate policies. Here, we develop a flexible architecture for computing damages that integrates climate science, econometric analyses, and process models. We use this approach to construct spatially explicit, probabilistic, and empirically derived estimates of economic damage in the United States from climate change. The combined value of market and nonmarket damage across analyzed sectors—agriculture, crime, coastal storms, energy, human mortality, and labor—increases quadratically in global mean temperature, costing roughly 1.2% of gross domestic product per +1°C on average. Importantly, risk is distributed unequally across locations, generating a large transfer of value northward and westward that increases economic inequality. By the late century, the poorest third of counties are projected to experience damages between 2 and 20% of county income (90% chance) under business-as-usual emissions (Representative Concentration Pathway 8.5).",ECONOMICS; CLIMATE change; ECONOMIC development & the environment; ENVIRONMENTAL impact analysis; GREENHOUSE gas mitigation; SURFACE temperature,Social
The politics of accelerating low-carbon transitions: Towards a new research agenda,"Meeting the climate change targets in the Paris Agreement implies a substantial and rapid acceleration of low carbon transitions. Combining insights from political science, policy analysis and socio-technical transition studies, this paper addresses the politics of deliberate acceleration by taking stock of emerging examples, mobilizing relevant theoretical approaches, and articulating a new research agenda. Going beyond routine appeals for more 'political will', it organises ideas and examples under three themes: 1) the role of coalitions in supporting and hindering acceleration; 2) the role of feedbacks, through which policies may shape actor preferences which, in turn, create stronger policies; and 3) the role of broader contexts (political economies, institutions, cultural norms, and technical systems) in creating more (or less) favourable conditions for deliberate acceleration. We discuss the importance of each theme, briefly review previous research and articulate new research questions. Our concluding section discusses the current and potential future relationship between transitions theory and political science.",Accelerated   transitions; climate policy; Coalitions; Context dependency; destabilization; energy system transformation; framework; governance; innovation; policy feedback; Policy feedback; Political science; Socio-technical transitions; sustainability transitions; temporal dynamics; Temporality; wind power,Social
Things are different today: The challenge of global systemic risks,"While most OECD countries have been rather successful in reducing risks to human lives, health, and the quality of the environment, the record for new global risks such as climate change, pandemics, financial breakdowns, and social inequality is much less convincing. This is the challenge of systemic risks. Since the global financial crisis, it has received rapidly growing attention. However, considerable conceptual confusion mars research on and practical responses to this challenge. We undertake an effort of conceptual clarification, starting with the paradigmatic example of the financial crisis. This leads to a view of global systems as involving an interplay between micro- and macrodynamics internal to the system, with the system simultaneously interacting with its environment. Such dynamics typically show periods of stability, punctuated by situations opening up several possible futures. Alternative global futures, like other prospects, constitute risks for an agent if she considers some of these futures as less desirable than others. Agents may have lexicographic preferences over futures they would like to avoid, so as to consider some futures as just undesirable, but others as catastrophic. If an agent expects some of the relevant futures at a bifurcation point of a global system to be catastrophic in this sense, they are faced with a systemic risk. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",,Social
"Crime, weather, and climate change","This paper estimates the impact of climate change on the prevalence of criminal activity in the United States. The analysis is based on a 30-year panel of monthly crime and weather data for 2997 US counties. I identify the effect of weather on monthly crime by using a semi-parametric bin estimator and controlling for state-by-month and county-by-year fixed effects. The results show that temperature has a strong positive effect on criminal behavior, with little evidence of lagged impacts. Between 2010 and 2099, climate change will cause an additional 22,000 murders, 180,000 cases of rape, 1.2 million aggravated assaults, 2.3 million simple assaults, 260,000 robberies, 1.3 million burglaries, 2.2 million cases of larceny, and 580,000 cases of vehicle theft in the United States.",Climate change; Crime; Weather,Social
Revisiting the social cost of carbon,"The social cost of carbon (SCC) is a central concept for understanding and implementing climate change policies. This term represents the economic cost caused by an additional ton of carbon dioxide emissions or its equivalent. The present study presents updated estimates based on a revised DICE model (Dynamic Integrated model of Climate and the Economy). The study estimates that the SCC is $31 per ton of CO2 in 2010 US$ for the current period (2015). For the central case, the real SCC grows at 3% per year over the period to 2050. The paper also compares the estimates with those from other sources.",climate change; economics; DICE model; social cost carbon,Social
Climate Change in the American Mind: December 2020,"Our latest national survey finds Americans who think global warming is happening outnumber those who think it is not by a ratio of more than 5 to 1 (72% versus 13%). This report is based on findings from a nationally representative survey – Climate Change in the American Mind – conducted by the Yale Program on Climate Change Communication (climatecommunication.yale.edu) and the George Mason University Center for Climate Change Communication (climatechangecommunication.org). Interview dates: December 3 – 16, 2020. Interviews: 1,036 adults in the U.S. (18+). Average margin of error +/- 3 percentage points at the 95% confidence level. The research was funded by the 11th Hour Project, the Energy Foundation, the MacArthur Foundation, and the Grantham Foundation.",,Social
Drivers of declining CO2 emissions in 18 developed economies,"Global emissions of carbon dioxide (CO2) from fossil fuels and industry increased by 2.2% per year on average between 2005 and 2015(1). Global emissions need to peak and decline rapidly to limit climate change to well below 2 degrees C of warming(2,3), which is one of the goals of the Paris Agreement(4). Untangling the reasons underlying recent changes in emissions trajectories is critical to guide efforts to attain those goals. Here we analyse the drivers of decreasing CO2 emissions in a group of 18 developed economies that have decarbonized over the period 2005-2015. We show that within this group, the displacement of fossil fuels by renewable energy and decreases in energy use explain decreasing CO2 emissions. However, the decrease in energy use can be explained at least in part by a lower growth in gross domestic product. Correlation analysis suggests that policies on renewable energy are supporting emissions reductions and displacing fossil fuels in these 18 countries, but not elsewhere, and that policies on energy efficiency are supporting lower energy use in these 18 countries, as well as more widely. Overall, the evidence shows that efforts to reduce emissions are underway in many countries, but these efforts need to be maintained and enhanced by more stringent policy actions to support a global peak in emissions followed by global emissions reductions in line with the goals of the Paris Agreement(3).",climate; policy; us; greenhouse-gas emissions,Social
Food systems for peace and security in a climate crisis,"Two thoughts should shape policy on food and peace. The first is that the worldwide increase in hunger is driven primarily by climate change and violent conflicts, and the second is that the availability of food is foundational for peace. Consequently, policies, programmes, and finances to strengthen food systems need to include climate action and conflict mitigation, but this recognition has been taking place slowly among global security and food system agents.",,Social
How much does financial development contribute to renewable energy growth and upgrading of energy structure in China?,"Developing renewable energy sector and upgrading energy structure have strategically important role in China's commitments against climate changes. Policymakers and authorities have put forward great efforts to make them happen. But one of the key constraints of China's energy revolution is financial issues, which is inevitably linking to the country's financial development. It is of great importance to understand how much financial development contributes to the renewable energy development in China, and more importantly what aspects of financial development matter. Through a time series analysis based on macro-level data, this paper provides clear evidence that financial development is critically important and contributes an overall of 42.42% to the variation of renewable energy growth. Specifically, we are able to demonstrate that capital market is the most important factor, followed by foreign investment. A simple comparison to the EU and the US cases indicates that the EU path is more relevant and should be studied more carefully by the Chinese policymakers.",Energy revolution; Energy structure; Financial development; Renewable energy growth,Social
Quantifying the Influence of Climate on Human Conflict,"Structured Abstract Introduction Despite the existence of institutions designed to promote peace, interactions between individuals and groups sometimes lead to conflict. Understanding the causes of such conflict is a major project in the social sciences, and researchers in anthropology, economics, geography, history, political science, psychology, and sociology have long debated the extent to which climatic changes are responsible. Recent advances and interest have prompted an explosion of quantitative studies on this question. <img class=""highwire-embed"" alt=""Embedded Image"" src=""https://science-sciencemag-org.proxy-su.researchport.umd.edu/sites/default/files/highwire/sci/341/6151/1235367/embed/inline-graphic-1.gif""/>Climate and conflict across spatial scales. Evidence that temperature influences the risk of modern human conflict: (A) local violence in 1° grid cells, (B) civil war in countries, and (C) civil conflict risk in the tropics. The map depicts regions of analysis corresponding to nonparametric watercolor regressions in (A) to (C). The color intensity in (A) to (C) indicates the level of certainty in the regression line. Methods We carried out a comprehensive synthesis of the rapidly growing literature on climate and human conflict. We examined many types of human conflict, ranging from interpersonal violence and crime to intergroup violence and political instability and further to institutional breakdown and the collapse of civilizations. We focused on quantitative studies that can reliably infer causal associations between climate variables and conflict outcomes. The studies we examined are experiments or “natural experiments”; the latter exploit variations in climate over time that are plausibly independent of other variables that also affect conflict. In many cases, we obtained original data from studies that did not meet this criterion and used a common statistical method to reanalyze these data. In total, we evaluated 60 primary studies that have examined 45 different conflict data sets. We collected findings across time periods spanning 10,000 BCE to the present and across all major world regions. ResultsDeviations from normal precipitation and mild temperatures systematically increase the risk of conflict, often substantially. This relationship is apparent across spatial scales ranging from a single building to the globe and at temporal scales ranging from an anomalous hour to an anomalous millennium. Our meta-analysis of studies that examine populations in the post-1950 era suggests that the magnitude of climate’s influence on modern conflict is both substantial and highly statistically significant (P < 0.001). Each 1-SD change in climate toward warmer temperatures or more extreme rainfall increases the frequency of interpersonal violence by 4% and intergroup conflict by 14% (median estimates). DiscussionWe conclude that there is more agreement across studies regarding the influence of climate on human conflict than has been recognized previously. Given the large potential changes in precipitation and temperature regimes projected for the coming decades—with locations throughout the inhabited world expected to warm by 2 to 4 SDs by 2050—amplified rates of human conflict could represent a large and critical social impact of anthropogenic climate change in both low- and high-income countries. Climate and Conflict Knowledge silos can hinder attempts to explore questions of interest across many disciplines. Hsiang et al. (p. 1235367, published online 1 August) provide a meta-analysis of data from disciplines as disparate as archaeology and psychology to examine the relation between climate and conflict. Overall, warmer temperatures or extremes of rainfall can be causally associated with changes in interpersonal violence and in civil war. A rapidly growing body of research examines whether human conflict can be affected by climatic changes. Drawing from archaeology, criminology, economics, geography, history, political science, and psychology, we assemble and analyze the 60 most rigorous quantitative studies and document, for the first time, a striking convergence of results. We find strong causal evidence linking climatic events to human conflict across a range of spatial and temporal scales and across all major regions of the world. The magnitude of climate’s influence is substantial: for each one standard deviation (1σ) change in climate toward warmer temperatures or more extreme rainfall, median estimates indicate that the frequency of interpersonal violence rises 4% and the frequency of intergroup conflict rises 14%. Because locations throughout the inhabited world are expected to warm 2σ to 4σ by 2050, amplified rates of human conflict could represent a large and critical impact of anthropogenic climate change. Across disciplinary boundaries, recently published evidence links climate change to increased violent conflict. Across disciplinary boundaries, recently published evidence links climate change to increased violent conflict.",,Social
Is Green Growth Possible?,"The notion of green growth has emerged as a dominant policy response to climate change and ecological breakdown. Green growth theory asserts that continued economic expansion is compatible with our planet's ecology, as technological change and substitution will allow us to absolutely decouple GDP growth from resource use and carbon emissions. This claim is now assumed in national and international policy, including in the Sustainable Development Goals. But empirical evidence on resource use and carbon emissions does not support green growth theory. Examining relevant studies on historical trends and model-based projections, we find that: (1) there is no empirical evidence that absolute decoupling from resource use can be achieved on a global scale against a background of continued economic growth, and (2) absolute decoupling from carbon emissions is highly unlikely to be achieved at a rate rapid enough to prevent global warming over 1.5 degrees C or 2 degrees C, even under optimistic policy conditions. We conclude that green growth is likely to be a misguided objective, and that policymakers need to look toward alternative strategies.",biomass; decoupling; degrowth; ecological economics; economic-growth; green growth; negative emissions; Sustainable development; target,Social
Factors Influencing the Mental Health Consequences of Climate Change in Canada,"Climate change is increasing risks to the mental health of Canadians. Impacts from a changing climate may outstrip the ability of Canadians and their health-sustaining institutions to adapt effectively and could increase poor mental health outcomes, particularly amongst those most marginalized in society. A scoping review of literature published during 2000-2017 explored risks, impacts, and vulnerabilities related to climate change and mental health. In this commentary, the authors present a new assessment of evidence from this scoping review and highlight factors that influence the capacity to adapt to the mental health consequences of a changing climate. Findings from this assessment reveal eleven key factors that influence the capacity to adapt: social capital; sense of community; government assistance; access to resources; community preparedness; intersectoral/transdisciplinary collaboration; vulnerability and adaptation assessments; communication and outreach; mental health literacy; and culturally relevant resources. Attention to these factors by Canadian decision makers can support proactive and effective management of the mental health consequences of climate change.",,Social
"Soil Degradation, Land Scarcity and Food Security: Reviewing a Complex Challenge","Soil health, along with water supply, is the most valuable resource for humans, as human life depends on the soil's generosity. Soil degradation, therefore, poses a threat to food security, as it reduces yield, forces farmers to use more inputs, and may eventually lead to soil abandonment. Unfortunately, the importance of preserving soil health appears to be overlooked by policy makers. In this paper, I first briefly introduce the present situation concerning agricultural production, natural resources, soil degradation, land use and the challenge ahead, to show how these issues are strictly interwoven. Then, I define soil degradation and present a review of its typologies and estimates at a global level. I discuss the importance of preserving soil capital, and its relationship to human civilization and food security. Trends concerning the availability of arable agricultural land, different scenarios, and their limitations, are analyzed and discussed. The possible relation between an increase in a country's GNP, population and future availability of arable land is also analyzed, using the World Bank's database. I argue that because of the many sources of uncertainty in the data, and the high risks at stake, a precautionary approach should be adopted when drawing scenarios. The paper ends with a discussion on the key role of preserving soil organic matter, and the need to adopt more sustainable agricultural practices. I also argue that both our relation with nature and natural resources and our lifestyle need to be reconsidered.",climate change; climate-change; agriculture; economics; erosion; energy; agricultural sustainability; ecosystem   services; ecosystem services; food   security; food production; land degradation; no-till; organic agriculture; precautionary approach; precautionary principle; quality; scenario analysis; smart people; soil   degradation; soil conservation,Social
Trading futures: Economism and gender in a changing climate:,"International trade is often viewed as environmentally unproblematic, even beneficial. This article challenges this view, using new trade data from the Food and Agriculture Organization to document inefficiencies in global food trade and to question the prioritization of economics over environment. It can be difficult to identify the effects of macro-level phenomena, such as trade agreements and climate change, on people’s lives at the micro-level. This article uses qualitative research conducted with farm women in the Canadian prairies to illustrate the intersection of policy, climate change, and their gendered effects in everyday life.",,Social
Trading futures: Economism and gender in a changing climate,"International trade is often viewed as environmentally unproblematic, even beneficial. This article challenges this view, using new trade data from the Food and Agriculture Organization to document inefficiencies in global food trade and to question the prioritization of economics over environment. It can be difficult to identify the effects of macro-level phenomena, such as trade agreements and climate change, on people?s lives at the micro-level. This article uses qualitative research conducted with farm women in the Canadian prairies to illustrate the intersection of policy, climate change, and their gendered effects in everyday life.",,Social
Global food system emissions could preclude achieving the 1.5° and 2°C climate change targets,"Thought for food To have any hope of meeting the central goal of the Paris Agreement, which is to limit global warming to 2°C or less, our carbon emissions must be reduced considerably, including those coming from agriculture. Clark et al. show that even if fossil fuel emissions were eliminated immediately, emissions from the global food system alone would make it impossible to limit warming to 1.5°C and difficult even to realize the 2°C target. Thus, major changes in how food is produced are needed if we want to meet the goals of the Paris Agreement. Science, this issue p. 705 The Paris Agreement’s goal of limiting the increase in global temperature to 1.5° or 2°C above preindustrial levels requires rapid reductions in greenhouse gas emissions. Although reducing emissions from fossil fuels is essential for meeting this goal, other sources of emissions may also preclude its attainment. We show that even if fossil fuel emissions were immediately halted, current trends in global food systems would prevent the achievement of the 1.5°C target and, by the end of the century, threaten the achievement of the 2°C target. Meeting the 1.5°C target requires rapid and ambitious changes to food systems as well as to all nonfood sectors. The 2°C target could be achieved with less-ambitious changes to food systems, but only if fossil fuel and other nonfood emissions are eliminated soon. Concerted efforts to mitigate greenhouse gas emissions from food production are necessary to limit increases in global temperature. Concerted efforts to mitigate greenhouse gas emissions from food production are necessary to limit increases in global temperature.",,Social
Conflict in a changing climate,"A growing body of research illuminates the role that changes in climate have had on violent conflict and social instability in the recent past. Across a diversity of contexts, high temperatures and irregular rainfall have been causally linked to a range of conflict outcomes. These findings can be paired with climate model output to generate projections of the impact future climate change may have on conflicts such as crime and civil war. However, there are large degrees of uncertainty in such projections, arising from (i) the statistical uncertainty involved in regression analysis, (ii) divergent climate model predictions, and (iii) the unknown ability of human societies to adapt to future climate change. In this article, we review the empirical evidence of the climate-conflict relationship, provide insight into the likely extent and feasibility of adaptation to climate change as it pertains to human conflict, and discuss new methods that can be used to provide projections that capture these three sources of uncertainty.",,Social
Comments on the process and product of the health impacts assessment component of the national assessment of the potential consequences of climate variability and change for the United States,"In 1990 Congress formed the U.S. Global Change Research Program and required it to conduct a periodic national assessment of the potential impacts of climate variability and change on all regions and select economic/resource sectors of the United States. Between 1998 and 2000, a team of experts collaborated on a health impacts assessment that formed the basis for the first National Assessment's analysis of the potential impacts of climate on human health. The health impacts assessment was integrated across a number of health disciplines and involved a search for and qualitative expert judgment review of data on the potential links between climate events and population health. Accomplishments included identification of vulnerable populations, adaptation strategies, research needs, and data gaps. Experts, stakeholders, and the public were involved. The assessment is reported in five articles in this issue; a summary was published in the April 2000 issue of Environmental Health Perspectives. The assessment report will enhance understanding of ways human health might be affected by various climate-associated stresses and of the need for further empirical and predictive research. Improved understanding and communication of the significance and inevitability of uncertainties in such an assessment are critical to further research and policy development.",,Social
Sustainable planning of the energy-water-food nexus using decision making tools,"Developing countries struggle to implement suitable electric power and water services, failing to match infrastructure with urban expansion. Integrated modelling of urban water and power systems would facilitate the investment and planning processes, but there is a crucial gap to be filled with regards to extending models to incorporate the food supply in developing contexts. In this paper, a holistic methodology and platform to support the resilient and sustainable planning at city region level for multiple sectors was developed for applications in urban energy systems (UES) and the energy-water-food nexus, combining agent-based modelling - to simulate and forecast resource demands on spatial and temporal scales - with resource network optimization, which incorporates capital expenditures, operational costs, environmental impacts and the opportunity cost of food production foregone (OPF). Via a scenario based approach, innovative water supply and energy deployment policies are presented, which address the provision of clean energy for every citizen and demonstrate the potential effects of climate change. The results highlighted the vulnerability of Ghana's power generation infrastructure and the need for diversification. Feed-in tariffs and investment into supporting infrastructure and agriculture intensification will effectively increase the share of renewable energy and reduce carbon emissions.",Climate change; Demand and supply; Energy deployment policies; Energy-water-food nexus; Integrated modelling; Resource technology network optimization,Social
Choosing between adaptation and prevention with an increasing probability of a pandemic,"The risk of pandemics is increasing, driven by changes in human behavior and climate, both of which are difficult for policymakers to control. There are two main strategies available for reacting to these changes. This paper considers the decision to invest in either adaptation (domestic) capital or prevention (foreign) capital before a pandemic in an interval of time when pandemic risk is increasing. This paper demonstrates how relatively small investments in the two strategies can provide large savings through smaller expected future damages. The technical relationships between adaptation, prevention and risk also determine the optimal mixture of investment over time. As risk increases, the technical relationships between these three stocks causes the optimal mixture of strategies to change over time. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",,Social
